rowname	genename	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name.GENENAME	MUT_12DPA_R1	MUT_12DPA_R2	MUT_12DPA_R3	WT_12DPA_R1	WT_12DPA_R2	MUT_14DPA_R1	MUT_14DPA_R2	MUT_14DPA_R3	WT_14DPA_R1	WT_14DPA_R2
ENSMUSG00000000093	Tbx2	727.841155569179	1.80677813811772	0.361333393066174	5.00030767371348	5.72388998071589e-07	9.75570726567109e-06	Tbx2	1.1	1.87	0.86	3.31	3.68	0.61	2.03	1.24	3.41	3.1
ENSMUSG00000000125	Wnt3	831.049529213579	1.55736870426386	0.416616583819567	3.73813420960301	0.000185390979089841	0.00166230857033439	Wnt3	1.36	1.65	3.06	2.57	6.67	1.57	1.56	2.3	1.43	5.13
ENSMUSG00000000305	Cdh4	312.459602755652	2.42119950555757	0.413931010247329	5.84928272011047	4.93697326368955e-09	1.27751029238547e-07	Cdh4	0.17	0.35	0.35	0.61	1.59	0.23	0.48	0.24	0.55	0.61
ENSMUSG00000000317	Bcl6b	214.779706089943	1.62332130676295	0.24146577547195	6.72278008587401	1.78289573150408e-11	6.7858092083913e-10	Bcl6b	0.59	0.51	0.51	1.1	1.42	0.23	0.5	0.26	0.93	1.06
ENSMUSG00000000385	Tmprss2	32.9292839325606	1.9661421202822	0.774384429305713	2.53897424312234	0.0111178007967488	0.0492489016303079	Tmprss2	0.06	0.1	0.1	0.14	0.21	0.29	0.12	0.01	0.17	0.16
ENSMUSG00000000402	Egfl6	51.9772467143393	-1.91747744349322	0.557715787237162	-3.43809066799437	0.000585831507181144	0.00444904969732731	Egfl6	0.38	0.44	0.24	0.07	0.07	0.45	0.44	0.33	0.09	0.27
ENSMUSG00000000693	Loxl3	785.995669487397	2.37484405204725	0.162472895623451	14.6168629723398	2.19273303003791e-48	1.88436552181363e-45	Loxl3	1.76	1.13	1.9	5.02	4.84	1	1.9	1.28	3.44	5.21
ENSMUSG00000000753	Serpinf1	5318.49395307549	1.92451595438391	0.122474651201829	15.7135859175664	1.22074599814103e-55	1.53325697366513e-52	Serpinf1	28.72	31.1	38.6	88.35	113.34	13.31	35.61	26.07	59.86	67.47
ENSMUSG00000000982	Ccl3	101.242938603446	-3.78472591871974	1.00519484182529	-3.76516647443913	0.000166438154393928	0.00150810332127861	Ccl3	0.72	1.08	10.1	0.2	0.21	1.14	0.74	1.81	0.11	0.04
ENSMUSG00000001021	S100a3	7161.79733362224	3.13677061938683	0.390438123984264	8.03397626076408	9.4363461177091e-16	6.94039006351145e-14	S100a3	35.28	53.37	41.46	150.22	443.92	37.08	22.36	32.74	55.64	157.22
